Title,title_year,budget,Gross,actor_1_name,actor_2_name,actor_3_name,IMDb_rating,genre_1,genre_2,genre_3,MetaCritic,Runtime,content_rating,Country
Big Hero 6,0.6666666666666288,0.6303501945525292,0.23735023690351983,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,0.23076923076922995,Animation,Action,Adventure,0.3157894736842104,0.3707865168539324,PG,USA
How to Train Your Dragon,0.0,0.6303501945525292,0.23190437514603937,Gerard Butler,America Ferrera,Craig Ferguson,0.4615384615384608,Animation,Action,Adventure,0.3157894736842104,0.3707865168539324,PG,USA
Wreck-It Ralph,0.3333333333333144,0.6303501945525292,0.20203020468446473,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,0.1538461538461533,Animation,Adventure,Comedy,0.26315789473684204,0.3707865168539324,PG,USA
Interstellar,0.6666666666666288,0.6303501945525292,0.20051249885380873,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,0.8461538461538449,Adventure,Drama,Sci-Fi,0.3157894736842104,0.8764044943820224,PG-13,USA
Inception,0.0,0.6108949416342413,0.3121881984532529,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,1.0,Action,Adventure,Sci-Fi,0.3157894736842104,0.6404494382022472,PG-13,USA
X-Men: First Class,0.16666666666662877,0.6108949416342413,0.15610373840857936,Jennifer Lawrence,Michael Fassbender,Oliver Platt,0.23076923076922995,Action,Adventure,Sci-Fi,0.07894736842105265,0.4606741573033708,PG-13,USA
Mad Max: Fury Road,0.8333333333333144,0.5719844357976653,0.16381819576134057,Tom Hardy,Charlize Theron,ZoÃÂ  Kravitz,0.4615384615384608,Action,Adventure,Sci-Fi,0.7368421052631577,0.3258426966292134,R,Australia
How to Train Your Dragon 2,0.6666666666666288,0.5525291828793775,0.18877191650196629,Gerard Butler,Djimon Hounsou,America Ferrera,0.3076923076923075,Animation,Action,Adventure,0.368421052631579,0.3707865168539324,PG,USA
The Revenant,0.8333333333333144,0.5136186770428016,0.19586134714915313,Leonardo DiCaprio,Tom Hardy,Lukas Haas,0.38461538461538414,Adventure,Drama,Thriller,0.368421052631579,0.7303370786516852,R,USA
The Hunger Games: Catching Fire,0.5,0.4941634241245136,0.4532297531711502,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,0.07692307692307665,Action,Adventure,Mystery,0.368421052631579,0.6179775280898876,PG-13,USA
The Martian,0.8333333333333144,0.40856031128404663,0.24369692461144268,Matt Damon,Donald Glover,Benedict Wong,0.38461538461538414,Adventure,Drama,Sci-Fi,0.4736842105263157,0.595505617977528,PG-13,USA
Gravity,0.5,0.377431906614786,0.29244968681532707,Phaldut Sharma,Basher Savage,Amy Warren,0.23076923076922995,Drama,Sci-Fi,Thriller,0.894736842105263,0.0,PG-13,UK
Django Unchained,0.3333333333333144,0.377431906614786,0.17361613135152265,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,0.6923076923076916,Drama,Western,Suspense,0.4999999999999998,0.8314606741573032,R,USA
The Wolf of Wall Street,0.5,0.377431906614786,0.12456013189899273,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau,0.5384615384615374,Biography,Comedy,Crime,0.3421052631578947,1.0,R,USA
Rise of the Planet of the Apes,0.16666666666662877,0.35019455252918286,0.18849805224825752,James Franco,David Oyelowo,Tyler Labine,0.07692307692307665,Action,Drama,Sci-Fi,0.1578947368421051,0.3707865168539324,PG-13,USA
The Girl with the Dragon Tattoo,0.16666666666662877,0.3385214007782101,0.10923511511281095,Robin Wright,Goran Visnjic,Joely Richardson,0.23076923076922995,Crime,Drama,Mystery,0.23684210526315774,0.7528089887640448,R,USA
The Little Prince,0.8333333333333144,0.3042801556420233,0.0011910169590260509,Jeff Bridges,James Franco,Mackenzie Foy,0.23076923076922995,Animation,Adventure,Drama,0.21052631578947367,0.19101123595505598,PG,France
Shutter Island,0.0,0.29961089494163423,0.13641534645888026,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto,0.4615384615384608,Mystery,Thriller,Suspense,0.02631578947368407,0.5280898876404494,R,USA
Despicable Me,0.0,0.25680933852140075,0.26833351824138757,Steve Carell,Miranda Cosgrove,Jack McBrayer,0.1538461538461533,Animation,Adventure,Comedy,0.26315789473684204,0.3707865168539324,PG,USA
